152,Juliana Stamm,F30-34,99,79,60,74,0:16:00,0:16:00,0:00:00,0:00:00,0:00:00,0:00:00,19.63256547230416,-155.99245923363276
1881,Emelie Hoeger,F65-69,99,44,30,31,0:08:00,0:08:00,0:00:00,0:00:00,0:00:00,0:00:00,19.63713591229839,-155.99427189552213
1936,Alicia Kemmer,F65-69,99,47,36,29,0:26:00,0:26:00,0:00:00,0:00:00,0:00:00,0:00:00,19.63106103981934,-155.99183364797807
2824,Jamey Reinger,M35-39,99,63,78,90,0:22:00,0:22:00,0:00:00,0:00:00,0:00:00,0:00:00,19.63066266367215,-155.99165946351053
2453,Herbert Johnson,M40-44,99,78,68,54,0:18:00,0:18:00,0:00:00,0:00:00,0:00:00,0:00:00,19.63062422054934,-155.99164527847577
600,Dr. Toni Cruickshank,M30-34,99,78,72,76,0:27:00,0:27:00,0:00:00,0:00:00,0:00:00,0:00:00,19.62644744719117,-155.9894375754987
1740,Albert Hahn,M30-34,99,69,57,56,0:34:00,0:34:00,0:00:00,0:00:00,0:00:00,0:00:00,19.62539471534963,-155.98894084749458
2608,Dr. Derick Hudson MD,M40-44,99,45,56,65,0:29:00,0:29:00,0:00:00,0:00:00,0:00:00,0:00:00,19.63054817010432,-155.99160350241084
2326,Glen Von,M55-59,99,55,79,59,0:20:00,0:20:00,0:00:00,0:00:00,0:00:00,0:00:00,19.632459652543748,-155.99241584917024
1670,Miss Laney Pollich IV,F80+,99,12,2,2,0:46:00,0:46:00,0:00:00,0:00:00,0:00:00,0:00:00,19.62877303096926,-155.99066683869876
2666,Annamarie Skiles,F60-64,99,11,33,26,0:50:00,0:50:00,0:00:00,0:00:00,0:00:00,0:00:00,19.627984285427125,-155.99005355692628
2506,Marguerite Ratke,F60-64,99,28,48,48,0:57:00,0:57:00,0:00:00,0:00:00,0:00:00,0:00:00,19.624639262817922,-155.9884660374831
1498,Declan Wiza,M55-59,99,42,55,50,0:36:00,0:36:00,0:00:00,0:00:00,0:00:00,0:00:00,19.628993167036977,-155.9908070640283
2421,Kallie Zulauf Sr.,F45-49,99,60,67,70,1:07:00,1:07:00,0:00:00,0:00:00,0:00:00,0:00:00,19.63202838406071,-155.992364660205
127,Jefferey Roberts,M40-44,99,58,78,77,0:48:00,0:48:00,0:00:00,0:00:00,0:00:00,0:00:00,19.625208762655955,-155.98992290757747
2860,Nickolas Labadie,M45-49,99,68,65,48,0:47:00,0:47:00,0:00:00,0:00:00,0:00:00,0:00:00,19.627219704689296,-155.99060222466292
558,Reuben Gottlieb III,M50-54,99,67,74,61,0:46:00,0:46:00,0:00:00,0:00:00,0:00:00,0:00:00,19.625732266849063,-155.9900972897121
2817,Ms. Jazmyn Treutel,F30-34,99,93,93,100,1:25:00,0:51:21,0:09:39,0:24:00,0:00:00,0:00:00,19.678304378491767,-156.0195090215303
1977,Tracey Brown,M18-24,99,62,53,53,1:14:00,1:14:00,0:00:00,0:00:00,0:00:00,0:00:00,19.636574423437697,-155.9943546850328
2304,Prof. Keith Connelly IV,M50-54,99,69,59,59,1:02:00,1:02:00,0:00:00,0:00:00,0:00:00,0:00:00,19.63312075513772,-155.99280134724913
122,Prof. Kane Donnelly,M60-64,99,37,41,34,0:59:00,0:59:00,0:00:00,0:00:00,0:00:00,0:00:00,19.62440938258411,-155.98956797450296
920,Gus Gleichner,M75-79,99,22,23,26,0:59:00,0:59:00,0:00:00,0:00:00,0:00:00,0:00:00,19.624711020211752,-155.9885197296785
1075,Dr. Bryon Simonis,M45-49,99,59,69,62,1:13:00,1:13:00,0:00:00,0:00:00,0:00:00,0:00:00,19.634393027686276,-155.993339332183
1303,Miss Tiffany Schmitt MD,F50-54,99,47,55,44,1:41:00,1:41:00,0:00:00,0:00:00,0:00:00,0:00:00,19.638767712505217,-155.99566392669365
1819,Dr. Brad Stiedemann II,M45-49,99,67,62,59,1:27:00,1:16:46,0:08:14,0:02:00,0:00:00,0:00:00,19.639332925021847,-155.99414084003433
71,Miss Maddison Shields Sr.,FPRO,99,100,95,96,2:11:00,0:47:27,0:02:33,1:21:00,0:00:00,0:00:00,19.90528542051381,-155.88378897589553
857,Miss Matilde Bradtke,F30-34,99,62,78,67,1:58:00,1:28:50,0:03:10,0:26:00,0:00:00,0:00:00,19.670472518658283,-156.01457077392232
1394,Rhett Rogahn,M75-79,99,8,14,19,1:28:00,1:28:00,0:00:00,0:00:00,0:00:00,0:00:00,19.627370690684494,-155.99065597195275
2522,Jay Stamm,M40-44,99,42,60,61,1:47:00,1:47:00,0:00:00,0:00:00,0:00:00,0:00:00,19.63934548535107,-155.9964731168068
409,Zachary Collins,M40-44,99,21,42,50,1:47:00,1:47:00,0:00:00,0:00:00,0:00:00,0:00:00,19.633671295036045,-155.99303531275729
1568,Carrie Ryan Sr.,F60-64,99,34,45,33,2:08:00,1:52:11,0:07:49,0:08:00,0:00:00,0:00:00,19.62294391476102,-155.9778034421171
1430,Kariane Schinner,F80+,99,39,29,18,2:06:00,1:53:04,0:07:56,0:05:00,0:00:00,0:00:00,19.63221469358455,-155.98925217526158
944,Jean Weber V,M55-59,99,42,58,61,1:44:00,1:44:00,0:00:00,0:00:00,0:00:00,0:00:00,19.63932892286566,-155.9964234949717
2448,Connie Nicolas,F80+,99,36,26,23,2:11:00,1:51:54,0:08:06,0:11:00,0:00:00,0:00:00,19.617951777342952,-155.97384230758675
832,Jarod Purdy,M65-69,99,19,11,7,1:50:00,1:50:00,0:00:00,0:00:00,0:00:00,0:00:00,19.635395049608928,-155.9937929475317
1872,Ransom Spencer,M45-49,99,70,80,59,2:00:00,1:12:44,0:05:16,0:42:00,0:00:00,0:00:00,19.756606622437772,-156.02638810423016
1144,Haley Heathcote,M50-54,99,45,63,56,2:02:00,1:46:10,0:07:50,0:08:00,0:00:00,0:00:00,19.619194956044147,-155.97602280497014
565,Jameson Hegmann DDS,M18-24,99,40,66,58,2:25:00,1:48:26,0:10:34,0:26:00,0:00:00,0:00:00,19.670832427272263,-156.0147390696264
277,Mrs. Berenice Hoeger V,F65-69,99,-1,22,19,2:31:00,2:31:00,0:00:00,0:00:00,0:00:00,0:00:00,19.639002457471136,-155.99587105181672
2442,Rhianna Harris,F75-79,99,16,28,21,2:29:00,2:12:34,0:02:26,0:14:00,0:00:00,0:00:00,19.6185142828417,-155.9696533412779
2217,Britney Koepp,F70-74,99,-8,13,5,2:31:00,2:31:00,0:00:00,0:00:00,0:00:00,0:00:00,19.63857111785161,-155.99552957372615
218,Delphia Labadie,F70-74,99,-4,16,3,2:31:00,2:31:00,0:00:00,0:00:00,0:00:00,0:00:00,19.639364498072727,-155.9965510113045
1956,Kaycee Hahn IV,F70-74,99,-6,1,-8,2:31:00,2:31:00,0:00:00,0:00:00,0:00:00,0:00:00,19.63826913270309,-155.99532372226534
500,Eunice Purdy,F75-79,99,2,27,7,2:31:00,2:31:00,0:00:00,0:00:00,0:00:00,0:00:00,19.63936035526499,-155.99654093292807
2350,Lucienne Pagac,F75-79,99,0,16,20,2:31:00,2:31:00,0:00:00,0:00:00,0:00:00,0:00:00,19.639229125398217,-155.99611309402835
965,Wendy McDermott,F75-79,99,1,11,-1,2:31:00,2:31:00,0:00:00,0:00:00,0:00:00,0:00:00,19.63939093761445,-155.99668581098607
2394,Anita Dietrich,F80+,99,2,12,19,2:31:00,2:31:00,0:00:00,0:00:00,0:00:00,0:00:00,19.639272005310506,-155.9962529682063
386,Eric Walker,M25-29,99,49,63,68,2:26:00,1:37:06,0:06:54,0:42:00,0:00:00,0:00:00,19.73504980832564,-156.0302765463618
1137,Lora Quigley I,F70-74,99,-9,-6,-1,2:31:00,2:31:00,0:00:00,0:00:00,0:00:00,0:00:00,19.63813477023763,-155.99523745433015
1355,Ava Johnston,F80+,99,-6,8,9,2:31:00,2:31:00,0:00:00,0:00:00,0:00:00,0:00:00,19.639089280938137,-155.99595360508786
